0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
34422,3212,833,20728,914,3037,808,20721,950,728,859,2740,2269,687,616,2194,2618,2645,1654,3321,1362,2904,1450,3293,1357,2023,9992,12392,2870,2288,9995,12928,3425,185,2752,6295,3986,216,2845,6010,3506,396,263,229,295,354,352,246,285,75,333,33,127,62,341,82,73,8487732,60692,1
32255,3043,839,19350,897,2979,667,19205,901,681,840,2541,2043,644,567,2000,2381,2580,1562,3018,1327,2833,1336,3150,1273,1968,9634,11016,2832,2221,9496,12008,3164,180,2761,5905,3793,197,2674,5933,3166,380,215,232,237,324,312,245,226,56,284,38,104,56,323,73,71,8502991,57973,1
37759,3482,879,22738,974,3371,817,22546,1050,830,912,2868,2326,664,670,2308,2756,2845,1798,3610,1453,2965,1397,3384,1718,2520,11033,13968,3322,2546,10994,14508,3885,274,3002,6336,4131,224,3015,6919,3798,473,252,251,288,372,380,246,255,81,329,44,133,81,382,77,88,8463421,66252,1
47130,4429,1381,20226,1385,4412,1359,19836,1494,1070,1042,4281,3729,977,1025,4105,4089,3795,2005,3817,2318,4081,1918,4191,2422,4118,7836,9768,3310,4466,7664,9606,3809,544,3506,4134,3925,481,3405,3767,3454,719,576,288,309,498,704,293,334,113,502,69,134,52,424,88,155,8465478,58954,2
57895,5838,1332,21754,2196,5814,1273,21419,2182,1342,1208,4407,4282,1196,1049,3941,4453,3233,2276,5955,2700,3453,1951,6134,2692,2878,6206,13370,7059,3227,6458,13572,7964,562,2463,3818,7416,568,2473,3663,6977,982,469,338,470,917,546,353,372,99,573,108,200,92,634,188,184,8415316,69510,2
47541,4736,1246,19198,1566,4790,1197,19112,1531,1123,1166,3955,3692,1059,989,3600,3861,3467,2122,4716,2307,3574,1928,4799,2363,3308,7100,10258,4836,3439,7203,10497,5487,491,2714,3497,5218,434,2828,3615,4709,728,431,268,335,609,526,319,321,85,404,67,156,84,382,108,178,8465884,57843,2
34892,3137,670,22050,1204,2996,688,21521,1058,734,760,2562,2642,761,671,2024,2599,2470,1566,3801,1493,2609,1540,3717,1627,1502,8264,15131,3386,1536,8390,15993,4021,154,1907,6213,4635,160,1935,6279,3937,309,209,218,235,300,292,280,204,38,322,62,92,36,403,116,65,8481591,61993,3
33457,2978,702,20630,1090,2941,754,20245,981,719,764,2573,2609,826,707,2133,2684,2578,1631,3556,1510,2675,1637,3508,1577,1722,7949,14085,3044,1637,7866,14738,3492,171,1897,5930,4051,163,2061,5853,3468,318,197,211,226,308,278,228,183,36,284,58,99,36,425,122,65,8494817,58517,3
34505,3029,734,22000,1152,2826,730,21575,1082,744,773,2700,2588,823,677,2034,2724,2556,1660,3674,1546,2668,1609,3745,1606,1581,8013,15183,2874,1688,8241,15962,3477,166,1995,6317,4468,164,1970,6319,3977,366,218,250,243,328,289,256,214,38,315,65,101,44,428,110,75,8482430,62075,3
44019,3699,599,21870,1765,3774,644,21885,1365,827,811,2507,2994,884,693,2096,2914,2150,1708,5088,1649,2267,1804,4975,1590,1086,5589,19514,5280,1064,5315,20151,5683,156,1133,5201,7112,151,1203,4875,7006,457,205,313,249,421,247,283,255,47,413,98,165,54,598,174,106,8456505,64314,4
42397,3430,788,22746,1808,3497,761,22283,1522,858,792,2882,2941,870,749,2321,3071,2133,1847,4989,1634,2252,1780,5180,1627,1100,5678,18020,4443,1011,5422,18820,4902,204,1306,5343,6921,230,1320,5399,6335,494,193,325,365,530,306,314,355,71,501,145,205,98,829,190,148,8456934,66385,4
